Episode  880 | Steps:  17262 | Noise Scale: 0.249 | Replay size: 39381 | Episode length:  49 | Total reward:   47.00 | Mean Q-value:  15.047
Episode  885 | Steps:  17672 | Noise Scale: 0.248 | Replay size: 39791 | Episode length:  49 | Total reward:   47.07 | Mean Q-value:  15.170
Episode  890 | Steps:  18054 | Noise Scale: 0.247 | Replay size: 40173 | Episode length:  71 | Total reward:   68.78 | Mean Q-value:  15.195
Episode  895 | Steps:  18409 | Noise Scale: 0.246 | Replay size: 40528 | Episode length:  86 | Total reward:   61.83 | Mean Q-value:  15.331
Episode  900 | Steps:  18804 | Noise Scale: 0.245 | Replay size: 40923 | Episode length:  77 | Total reward:   75.10 | Mean Q-value:  15.525
Episode  905 | Steps:  19191 | Noise Scale: 0.244 | Replay size: 41310 | Episode length:  87 | Total reward:   73.12 | Mean Q-value:  15.577
Episode  910 | Steps:  19599 | Noise Scale: 0.243 | Replay size: 41718 | Episode length:  71 | Total reward:   66.37 | Mean Q-value:  15.630
Episode  915 | Steps:  20043 | Noise Scale: 0.241 | Replay size: 42162 | Episode length:  66 | Total reward:   63.61 | Mean Q-value:  15.875
Episode  920 | Steps:  20371 | Noise Scale: 0.241 | Replay size: 42490 | Episode length:  64 | Total reward:   62.07 | Mean Q-value:  15.964
Episode  925 | Steps:  20814 | Noise Scale: 0.239 | Replay size: 42933 | Episode length: 118 | Total reward:   88.29 | Mean Q-value:  16.042
Episode  930 | Steps:  21268 | Noise Scale: 0.238 | Replay size: 43387 | Episode length:  54 | Total reward:   48.89 | Mean Q-value:  16.164
Episode  935 | Steps:  21870 | Noise Scale: 0.237 | Replay size: 43989 | Episode length:  69 | Total reward:   63.97 | Mean Q-value:  16.364
Episode  940 | Steps:  22278 | Noise Scale: 0.236 | Replay size: 44397 | Episode length:  67 | Total reward:   60.66 | Mean Q-value:  16.527
Episode  945 | Steps:  22767 | Noise Scale: 0.234 | Replay size: 44886 | Episode length:  69 | Total reward:   64.17 | Mean Q-value:  16.620
Episode  950 | Steps:  23067 | Noise Scale: 0.234 | Replay size: 45186 | Episode length:  52 | Total reward:   47.67 | Mean Q-value:  16.611
Episode  955 | Steps:  23365 | Noise Scale: 0.233 | Replay size: 45484 | Episode length:  57 | Total reward:   52.56 | Mean Q-value:  16.814
Episode  960 | Steps:  23676 | Noise Scale: 0.232 | Replay size: 45795 | Episode length:  51 | Total reward:   46.35 | Mean Q-value:  16.915
Episode  965 | Steps:  23988 | Noise Scale: 0.231 | Replay size: 46107 | Episode length:  76 | Total reward:   70.09 | Mean Q-value:  16.915
Episode  970 | Steps:  24366 | Noise Scale: 0.230 | Replay size: 46485 | Episode length:  68 | Total reward:   62.98 | Mean Q-value:  17.032
Episode  975 | Steps:  24668 | Noise Scale: 0.230 | Replay size: 46787 | Episode length:  81 | Total reward:   76.45 | Mean Q-value:  17.149
